Publisher,total_sales_publisher
Nintendo,1786.54
Electronic Arts,1110.32
Activision,727.46
Sony Computer Entertainment,607.5
Ubisoft,474.43
Take-Two Interactive,399.54
THQ,340.77
Konami Digital Entertainment,283.64
Sega,272.95
Namco Bandai Games,254.09
Microsoft Game Studios,245.79
Capcom,200.89
Atari,157.22
Warner Bros. Interactive Entertainment,153.89
Square Enix,145.18
Disney Interactive Studios,119.96
Eidos Interactive,98.98
LucasArts,87.34
Bethesda Softworks,82.14
Midway Games,69.85
Acclaim Entertainment,64.14
Vivendi Games,58.21
SquareSoft,57.65
505 Games,55.91
Tecmo Koei,53.55
Codemasters,47.87
Virgin Interactive,43.87
Unknown,34.66
Enix Corporation,33.74
Deep Silver,25.67
GT Interactive,25.23
D3Publisher,24.13
Sony Computer Entertainment Europe,23.89
Hudson Soft,23.01
MTV Games,20.97
Universal Interactive,17.77
Banpresto,17.4
Rising Star Games,17.31
Infogrames,16.34
Majesco Entertainment,16.08
Hasbro Interactive,15.22
N/A,14.88
Nippon Ichi Software,14.28
989 Studios,13.32
Zoo Digital Publishing,12.87
Atlus,12.74
Level 5,12.17
Empire Interactive,11.29
ASCII Entertainment,10.89
3DO,10.12
Crave Entertainment,9.93
RedOctane,8.68
TDK Mediactive,8.31
Mindscape,7.74
Global Star,7.65
Focus Home Interactive,7.51
Fox Interactive,7.39
Psygnosis,7.27
Activision Value,6.96
Ignition Entertainment,6.82
Interplay,6.66
SouthPeak Games,6.35
Spike,6.15
Red Orb,5.24
Parker Bros.,4.97
Tomy Corporation,4.97
BAM! Entertainment,4.95
Imagic,4.82
Zoo Games,4.82
Arena Entertainment,4.72
Koch Media,4.71
City Interactive,4.61
Ubisoft Annecy,4.46
Nordic Games,4.44
Destineer,4.36
Play It,4.31
PQube,4.27
Palcom,4.17
Marvelous Interactive,4.17
ChunSoft,4.07
Idea Factory,4.01
Game Factory,3.79
Kadokawa Shoten,3.77
Gotham Games,3.72
Natsume,3.69
GSP,3.69
Square,3.64
Ocean,3.61
DTP Entertainment,3.59
Sony Online Entertainment,3.53
SCi,3.52
Mattel Interactive,3.51
Oxygen Interactive,3.46
Takara,3.45
Maxis,3.39
Titus,3.32
Black Bean Games,3.29
